Gray,128,128,128,808080
Gray,84,84,84,545454
Silver,190,190,190,BEBEBE
LightGray,211,211,211,D3D3D3
LightSlateGray,119,136,153,778899
SlateGray,112,128,144,708090
SlateGray,108,123,139,6C7B8B
RockBlue,198,226,255,C6E2FF
RockBlue,185,211,238,B9D3EE
RockBlue,158,177,205,9EB1CD
RockBlue,159,182,205,9FB6CD
Black,0,0,0,00000
BlackBean,8,25,16,081910
BlackPearl,4,19,34,041322
MineShaft,31,31,31,1F1F1F
MineShaft,38,38,38,262626
MineShaft,50,50,50,323232
MineShaft,66,66,66,424242
Gray,69,69,69,454545
Gray,71,71,71,474747
Gray,82,82,82,525252
Gray,84,84,84,545454
Gray,94,94,94,5E5E5E
DimGray,97,97,97,616161
DimGray,99,99,99,636363
DimGray,102,102,102,666666
DimGray,105,105,105,696969
DoveGray,107,107,107,6B6B6B
DoveGray,109,108,108,6D6C6C
DoveGray,117,117,117,757575
Gray,120,120,120,787878
Gray,127,127,127,7F7F7F
Gray,138,138,138,8A8A8A
Gray,145,145,145,919191
DustyGray,148,148,148,949494
DustyGray,168,152,155,A8A9AB
DustyGray,156,156,156,9C9C9C
SilverChalice,158,158,158,9E9E9E
SilverChalice,163,163,163,A3A3A3
SilverChalice,172,172,172,ACACAC
SilverChalice,181,181,181,B5B5B5
Silver,184,184,184,B8B8B8
Silver,209,209,209,D1D1D1
Mercury,212,212,212,D4D4D4
Mercury,229,229,229,E5E5E5
Mercury,237,237,237,EDEDED
WildSand,240,240,240,F0F0F0
WildSand,244,244,244,F4F4F4
White,247,247,247,F7F7F7
White,250,250,250,FAFAFA
White,252,252,252,FCFCFC
DarkGray,169,169,169,A9A9A9
Silver,205,205,205,CDCDCD
ButterflyBush,98,78,154,624E9A
ButterflyBush,99,86,136,635688
AliceBlue,240,248,255,F0F8FF
BlueViolet,138,43,226,8A2BE2
CadetBlue,95,159,159,5F9F9F
CadetBlue,95,158,160,5F9EA0
CadetBlue,152,245,255,98F5FF
CadetBlue,142,229,238,8EE5EE
CadetBlue,122,197,205,7AC5CD
CadetBlue,83,134,139,53868B
CornflowerBlue,66,66,111,42426F
CornflowerBlue,100,149,237,6495ED
DarkSlateBlue,72,61,139,483D8B
DarkTurquoise,0,206,209,00CED1
DeepSkyBlue,0,191,255,00BFFF
DeepSkyBlue,0,178,238,00B2EE
DeepSkyBlue,0,154,205,009ACD
DeepSkyBlue,0,104,139,00688B
DodgerBlue,30,144,255,1E90FF
DodgerBlue,28,134,238,1C86EE
DodgerBlue,24,116,205,1874CD
DodgerBlue,16,78,139,104E8B
LightBlue,173,216,230,ADD8E6
LightBlue,191,239,255,BFEFFF
LightBlue,178,223,238,B2DFEE
LightBlue,154,192,205,9AC0CD
SlateGray,104,131,139,68838B
LightCyan,224,255,255,E0FFFF
LightCyan,209,238,238,D1EEEE
LightCyan,180,205,205,B4CDCD
Gunsmoke,122,139,139,7A8B8B
LightSkyBlue,135,206,250,87CEFA
LightSkyBlue,176,226,255,B0E2FF
LightSkyBlue,164,211,238,A4D3EE
LightSkyBlue,141,182,205,8DB6CD
SlateGray,96,123,139,607B8B
LightSlateBlue,132,112,255,8470FF
LightSteelBlue,176,196,222,B0C4DE
LightSteelBlue,202,225,255,CAE1FF
LightSteelBlue,188,210,238,BCD2EE
RockBlue,162,181,205,A2B5CD
SlateGray,110,123,139,6E7B8B
Aquamarine,112,219,147,70DB93
MediumBlue,0,0,205,0000CD
MediumSlateBlue,123,104,238,7B68EE
MediumTurquoise,72,209,204,48D1CC
MidnightBlue,25,25,112,191970
NavyBlue,0,0,128,000080
PaleTurquoise,175,238,238,AFEEEE
PaleTurquoise,187,255,255,BBFFFF
PaleTurquoise,174,238,238,AEEEEE
PaleTurquoise,150,205,205,96CDCD
PaleTurquoise,102,139,139,668B8B
PowderBlue,176,224,230,B0E0E6
RoyalBlue,65,105,225,4169E1
RoyalBlue,72,118,255,4876FF
RoyalBlue,67,110,238,436EEE
